semester,departmentId,serialNumber,attributeCode,systemCode,forGrade,forClass,forClassGroup,category,courseName,courseNote,courseLimit,tags,credits,required,instructors,selected,available,time
01131,K1,14,CL7169,K18D300,,碩博,,講義,古典文化中的性別敘事,,,,3,False,林素娟,0,35,"1,2,4,01,21207,中文系館 21207"
01131,K1,15,CL7217,K174700,,碩博,,講義,日本明治時期的漢學與中國哲學研究,兩週上一次，一次四節課,,,2,False,佐藤將之,0,25,"2,6,7,01,21207,中文系館 21207"
01131,K1,16,CL7033,K164500,,碩博,,講義,修辭學專題研究,,,,2,False,仇小屏,0,35,"3,8,9,01,21207,中文系館 21207"
01131,K1,17,CL7116,K18A000,,碩博,,講義,現當代戲劇專題研究,,,,3,False,秦嘉嫄,0,-3,"2,7,9,01,21205,中文系館 21205"
01131,K1,26,CL7185,K18E200,,碩博,,講義,今古文經學現代化與西方當代方法學專題研究,,,,3,False,萬胥亭,0,-3,"1,2,4,01,21205,中文系館 21205"
01131,K1,27,CL7179,K166000,,碩,,講義,中國當代文學專題,限碩士班選修,,,2,False,蘇敏逸,0,25,"1,6,7,01,21207,中文系館 21207"
01131,K1,28,CL7200,K167100,,碩博,,講義,華語電影專題,,,,3,False,蔡林縉,0,35,"2,7,9,01,21208,中文系館 21208"
01131,K2,2,FLL7121E,K254500,,碩博,,講義,喬叟專題研究,文學選修，碩博，英國文學：浪漫時期前，外籍教師，EMI課程(英文授課比例100%),,,3,False,石苓,0,15,"2,6,8,03,26510,修齊大樓 26510"
01131,K2,20,FLL7602E,K287000,,碩博,,講義,音韻學專題：音韻現象與優選論前的理論,語言學組，碩博，EMI課程(英文授課比例95%),,,3,False,羅勤正,0,15,"2,2,4,03,26512,修齊大樓 26512"
01131,K3,3,HIS6006,K354821-1,,碩一,,講義,論文寫作與實習（二）,碩班必修課,,,2,True,陳文松,0,20,"3,3,4,02,25234,歷史系館 25234"
01131,K3,4,HIS6104,K354320,,碩一,,講義,高級史學英文（二）,碩士班英文、日文擇一為必修。99學年度（含）以後入學博士生勿選。須修過(一)，才能修(二),需先修以下科目:《高級史學英文（一）/必修/0 學分/70 分以上》,英語授課|5|,0,True,李鑑慧,0,10,"4,7,9,02,25234,歷史系館 25234"
01131,K3,5,HIS6102,K354420,,碩一,,講義,專業史學日文（二）,碩士班英文、日文擇一為必修。99學年度（含）以後入學博士生勿選。須修過(一)，才能修(二),,,0,True,顧盼,0,10,"0,2,4,02,25240,歷史系館 25240"
01131,K3,8,HIS8104,K38E700,,碩,,講義,近代台灣性別史專題,開放大學部四年級選課,,,3,False,梁秋虹,0,10,"4,6,8,02,25232,歷史系館 25232"
01131,K3,11,HIS7128,K38B900,,碩博,,講義,臺灣物質文化史專題研究,開放大學部四年級選課,,,3,False,謝仕淵,0,15,"4,2,4,02,25129,歷史系館 25129"
01131,K3,51,HIS8101,K38E400,,碩博,,講義,醫療、社區與照護：歷史與方法,,,,3,False,許宏彬,0,10,"3,2,4,02,25240,歷史系館 25240"
01131,K3,54,HIS7129,K38C600,,碩博,,講義,隋唐史專題研究,,,,3,False,凃宗呈,0,12,"3,2,4,02,25232,歷史系館 25232"
01131,K3,56,HIS7117,K38F100,,碩博,,講義,動物史學專題,,,,3,False,李鑑慧,0,10,"4,2,4,02,25240,歷史系館 25240"
01131,K3,61,HIS7111,K38A900,,碩博,,講義,東南亞史研究,,,,3,False,鄭永常,0,10,"1,7,9,02,25129,歷史系館 25129"
01131,K3,62,HIS7174,K366600,,碩博,,講義,臺灣原住民史（17到20世紀）史料專題,,,,3,False,陳計堯,0,6,"3,7,9,02,25231,歷史系館 25231"
01131,K3,80,HIS9002,K375220-1,,博一,,講義,史學與史學研究（二）,基礎課（含研討）、博士生必修。,,,2,True,陳恒安,0,12,"0,2,3,02,25231,歷史系館 25231"
01131,K4,1,AS6092,K46C700,,碩一二,,講義,電影音樂研究,,,,3,False,楊金峯,0,35,"0,6,8,09,5450,藝術所 5450"
01131,K4,2,AS6066,K46A800,,碩一二,,講義,影像美學研究,,,,3,False,王雅倫,0,35,"1,2,4,09,5450,藝術所 5450"
01131,K4,3,AS6102,K46D700,,碩一二,,講義,表演藝術田野工作理論與實務,,,戲劇學程|1|http://cpi.acad.ncku.edu.tw/cpi/index.php?c=course&m=detail&no=94,3,False,"陳佳彬, 施德玉",0,15,"1,2,4,09,5452,藝術所 5452"
01131,K4,4,AS6071,K457101,,碩一二,,講義,音樂學研究法,,,,3,False,施德玉,0,35,"2,6,8,09,5450,藝術所 5450"
01131,K4,6,AS6079,K46B400,,碩一二,,講義,臺灣音樂專題研究,上課教室為5404研討室,,,3,False,施德玉,0,-3,"2,2,4,,,"
01131,K4,7,AS6111,K46E520,,碩一二,,講義,台灣美術史專題研究（二）,,,美學與藝術跨域學分學程|1|http://cpi.acad.ncku.edu.tw/cpi/index.php?c=course&m=detail&no=101,3,False,"蕭瓊瑞, 吳奕芳, 王雅倫",0,15,"2,6,8,09,5452,藝術所 5452"
01131,K4,8,AS6072,K457001,,碩一二,,講義,視覺藝術研究法,,,,3,False,吳奕芳,0,15,"3,2,4,09,5452,藝術所 5452"
01131,K4,9,AS6112,K46E600,,碩一二,,講義,表演藝術與行政管理,,,數位人文專長微學程|#07789b|,3,False,馬薇茜,0,35,"3,2,4,09,5450,藝術所 5450"
01131,K4,10,AS6003,K467200,,碩一二,,講義,美學,,,,3,True,"楊金峯, 吳奕芳, 馬薇茜",0,35,"3,7,9,09,5450,藝術所 5450"
01131,K4,11,AS6115,K46E900,,碩一二,,講義,創作性戲劇,,,,3,False,"李孟學, 陳佳彬",0,35,"4,2,4,09,5450,藝術所 5450"
01131,K4,12,AS6114,K46E800,,碩一二,,講義,戲劇療癒與表演專題研究,,,戲劇學程|1|http://cpi.acad.ncku.edu.tw/cpi/index.php?c=course&m=detail&no=94,3,False,朱芳慧,0,35,"4,6,8,09,5450,藝術所 5450"
01131,K4,13,AS6116,K457400,,碩一二,,講義,藝術行動與文化空間,,,,3,False,,0,-3,
01131,K5,1,TWL9502,K586000,,博二,,講義,台灣文學專題討論,雙語授課bilingual course,,英語授課|5|,3,True,蔣為文,0,12,"2,7,9,19,88102,台文系館 88102"
01131,K5,2,TWL6001,K551400,,碩一,,講義,文學研究方法與論文寫作,雙語授課bilingual course,,英語授課|5|,3,True,"蔣為文, 陳慕真",0,12,"3,2,4,19,88102,台文系館 88102"
01131,K5,4,TWL7073,K58B900,,碩博,,講義,台灣語文專題研究,,,,3,False,陳麗君,0,-3,"0,7,9,19,88102,台文系館 88102"
01131,K5,5,TWL7431,K58C300,,碩博,,講義,台灣新住民與原生文化,,,性別研究學分學程|1|http://cpi.acad.ncku.edu.tw/cpi/index.php?c=course&m=detail&no=105,3,False,曾薰慧,0,-3,"4,2,4,19,88102,台文系館 88102"
01131,K5,6,TWL7401,K563800,,碩博,,講義,族群與文化專題研究,,,,3,False,鍾秀梅,0,-3,"2,10,12,19,88102,台文系館 88102"
01131,K5,7,TWL7424,K58A300,,碩博,,講義,台灣社會文化史專題研究,,,,3,False,李承機,0,-3,"2,2,4,19,88102,台文系館 88102"
01131,K5,8,TWL7046,K587920,,碩博,,講義,歌仔戲劇本專題研究：拱樂社劇本（二）,,,戲劇學程|1|http://cpi.acad.ncku.edu.tw/cpi/index.php?c=course&m=detail&no=94,3,False,劉南芳,0,-3,"1,2,4,19,88102,台文系館 88102"
01131,K5,9,TWL7007,K561200,,碩博,,講義,後殖民理論與台灣文學專題,,,,3,False,游勝冠,0,-3,"0,10,12,19,88102,台文系館 88102"
01131,K5,10,TWL7078,K572800,,碩博,,講義,文學台灣：進階導論,,,英語授課|5|,3,False,,0,-3,"1,7,9,19,88102,台文系館 88102"
01131,K5,301,TWL6101,K562500,,碩專,,講義,研究方法與論文寫作,,,,3,True,,0,12,"3,11,13,19,88102,台文系館 88102"
01131,K7,1,Arxe6026,K762700,,碩一二,,講義,空間分析與考古GIS應用,,,,3,False,熊仲卿,0,15,"0,2,4,40,83102,考古學研究所 83102"
01131,K7,2,Arxe6002,K760100,,碩一,3,講義,考古學理論方法專題,,,,3,True,趙金勇,0,15,"1,2,4,40,83102,考古學研究所 83102"
01131,K7,4,Arxe6078,K767200,,碩一二,,講義,原住民族聚落保存田野實察,密集授課。2/21、3/6、3/13、3/20、3/27、3/29、6/12、6/19，每日11:10-14:00。4/4-4/7，每日8:10-12:00；13:10-17:00。,,考古學與文化資產學分學程|1|http://cpi.acad.ncku.edu.tw/cpi/index.php?c=course&m=detail&no=121,3,False,台邦．撒沙勒,0,15,
